date,TF,HF,OT
2022/9/11 12:00,32.669975,55.03963333,7.295145459
2022/9/11 12:10,32.81271667,52.14073333,6.97945196
2022/9/11 12:20,32.6566,51.95928333,6.979341372
2022/9/11 12:30,32.62331667,51.03546667,6.92564585
2022/9/11 12:40,32.61716667,52.05,6.94863403
2022/9/11 12:50,32.60715,52.7446,7.076766467
2022/9/11 13:00,32.57378333,52.57941667,5.848473963
2022/9/11 13:10,32.73173333,53.44398333,6.930983652
2022/9/11 13:20,32.959175,52.95411667,6.960844627
2022/9/11 13:30,33.1528,52.38863333,7.429789086
2022/9/11 13:40,33.02415,52.31788333,6.282006469
2022/9/11 13:50,33.0047,51.01323333,6.707422733
2022/9/11 14:00,33.17706667,50.53211667,6.715957413
2022/9/11 14:10,33.38873333,52.59021667,7.380699661
2022/9/11 14:20,33.41025,52.43625,6.343590679
2022/9/11 14:30,33.49538333,51.55675,6.89098364
2022/9/11 14:40,33.512225,50.02928333,6.936472814
2022/9/11 14:50,33.81734167,47.83435,7.139022974
2022/9/11 15:00,33.963075,47.70428333,6.100305358
2022/9/11 15:10,33.99204167,47.38818333,6.711070845
2022/9/11 15:20,33.87584167,48.40286667,6.87529836
2022/9/11 15:30,33.8281,47.94571667,7.000622736
2022/9/11 15:40,33.825525,47.57271667,5.911517841
2022/9/11 15:50,33.821775,47.71071667,6.584371993
2022/9/11 16:00,33.75079167,47.79476667,6.69456243
2022/9/11 16:10,33.76095833,47.12813333,6.928217814
2022/9/11 16:20,33.6447,47.55996667,5.833679821
2022/9/11 16:30,33.69890833,45.98623333,6.408739043
2022/9/11 16:40,33.65928333,46.24865,6.457760685
2022/9/11 16:50,33.52801667,46.29418333,6.459489637
2022/9/11 17:00,33.61500833,43.70165,6.37388386
2022/9/11 17:10,33.46236667,45.17171667,6.579501475
2022/9/11 17:20,33.11463333,48.12243333,6.714623901
2022/9/11 17:30,33.13165,46.10285,6.52284987
2022/9/11 17:40,33.201925,44.21121667,6.380009915
2022/9/11 17:50,33.264125,44.2756,6.436515224
2022/9/11 18:00,33.03815,47.92275,6.735632641
2022/9/11 18:10,32.79720833,47.884,6.612418956
2022/9/11 18:20,32.69148333,48.52888333,6.637332278
2022/9/11 18:30,32.646275,47.56155,6.585124714
2022/9/11 18:40,32.68031667,47.44128333,6.559313837
2022/9/11 18:50,32.50659167,48.92316667,6.685924725
2022/9/11 19:00,32.55813333,48.3866,6.626658999
2022/9/11 19:10,32.46343333,49.81748333,6.747770218
2022/9/11 19:20,32.294525,51.37501667,6.827737631
2022/9/11 19:30,32.25811667,51.4551,6.825786894
2022/9/11 19:40,32.1715,52.76895,6.924242984
2022/9/11 19:50,32.13795614,52.98005263,6.940908541
2022/9/11 20:00,0,0,0
2022/9/11 20:10,0,0,0
2022/9/11 20:20,0,0,0
2022/9/11 20:30,0,0,0
2022/9/11 20:40,0,0,0
2022/9/11 20:50,0,0,0
2022/9/11 21:00,0,0,0
2022/9/11 21:10,0,0,0
2022/9/11 21:20,0,0,0
2022/9/11 21:30,0,0,0
2022/9/11 21:40,0,0,0
2022/9/11 21:50,0,0,0
2022/9/11 22:00,0,0,0
2022/9/11 22:10,0,0,0
2022/9/11 22:20,0,0,0
2022/9/11 22:30,0,0,0
2022/9/11 22:40,0,0,0
2022/9/11 22:50,0,0,0
2022/9/11 23:00,0,0,0
2022/9/11 23:10,0,0,0
2022/9/11 23:20,0,0,0
2022/9/11 23:30,0,0,0
2022/9/11 23:40,0,0,0
2022/9/11 23:50,0,0,0
2022/9/12 0:00,0,0,0
2022/9/12 0:10,0,0,0
2022/9/12 0:20,0,0,0
2022/9/12 0:30,0,0,0
2022/9/12 0:40,0,0,0
2022/9/12 0:50,0,0,0
2022/9/12 1:00,0,0,0
2022/9/12 1:10,0,0,0
2022/9/12 1:20,0,0,0
2022/9/12 1:30,0,0,0
2022/9/12 1:40,0,0,0
2022/9/12 1:50,0,0,0
2022/9/12 2:00,0,0,0
2022/9/12 2:10,0,0,0
2022/9/12 2:20,0,0,0
2022/9/12 2:30,0,0,0
2022/9/12 2:40,0,0,0
2022/9/12 2:50,0,0,0
2022/9/12 3:00,0,0,0
2022/9/12 3:10,0,0,0
2022/9/12 3:20,0,0,0
2022/9/12 3:30,0,0,0
2022/9/12 3:40,0,0,0
2022/9/12 3:50,0,0,0
2022/9/12 4:00,0,0,0
2022/9/12 4:10,0,0,0
2022/9/12 4:20,0,0,0
2022/9/12 4:30,0,0,0
2022/9/12 4:40,0,0,0
2022/9/12 4:50,0,0,0
2022/9/12 5:00,0,0,0
2022/9/12 5:10,0,0,0
2022/9/12 5:20,0,0,0
2022/9/12 5:30,0,0,0
2022/9/12 5:40,0,0,0
2022/9/12 5:50,0,0,0
2022/9/12 6:00,0,0,0
2022/9/12 6:10,0,0,0
2022/9/12 6:20,0,0,0
2022/9/12 6:30,0,0,0
2022/9/12 6:40,0,0,0
2022/9/12 6:50,0,0,0
2022/9/12 7:00,0,0,0
2022/9/12 7:10,0,0,0
2022/9/12 7:20,0,0,0
2022/9/12 7:30,0,0,0
2022/9/12 7:40,0,0,0
2022/9/12 7:50,0,0,0
2022/9/12 8:00,31.282175,53.29135,6.067787879
2022/9/12 8:10,31.00896667,53.85706667,6.377660775
2022/9/12 8:20,30.96434167,53.08715,6.373568391
2022/9/12 8:30,31.05828333,50.8954,5.727116869
2022/9/12 8:40,31.040025,52.02998333,6.263809515
2022/9/12 8:50,31.09115,50.68568333,6.215158945
2022/9/12 9:00,31.169425,49.30855,6.13525331
2022/9/12 9:10,31.27215833,49.495,5.604789796
2022/9/12 9:20,31.28705833,48.72578333,5.503574733
2022/9/12 9:30,31.441125,48.9149,5.589478682
2022/9/12 9:40,31.48865,48.44116667,5.574622863
2022/9/12 9:50,31.52784167,47.61996667,4.77276848
2022/9/12 10:00,31.584475,48.28336667,5.48817072
2022/9/12 10:10,31.67744167,48.37628333,5.619674431
2022/9/12 10:20,31.819,47.62536667,5.567068645
2022/9/12 10:30,31.86625,46.73596667,5.70110573
2022/9/12 10:40,31.94619167,46.90755,4.529315825
2022/9/12 10:50,32.14130833,46.91605,6.227778755
2022/9/12 11:00,32.24319167,47.00745,6.275782125
2022/9/12 11:10,32.23351667,46.66381667,6.234531981
2022/9/12 11:20,32.26245833,47.0462,6.014315295
2022/9/12 11:30,32.305775,47.7129,6.155991405
2022/9/12 11:40,32.43683333,47.94978333,6.320451809
2022/9/12 11:50,32.52001667,45.84143333,6.177009185
2022/9/12 12:00,32.75055833,44.75333333,6.27303107
2022/9/12 12:10,32.77599167,44.76558333,5.310076916
2022/9/12 12:20,32.84688333,44.37353333,5.718704262
2022/9/12 12:30,33.01513333,44.61381667,6.202919058
2022/9/12 12:40,33.19265833,43.27978333,6.120897029
2022/9/12 12:50,33.36499167,43.14393333,6.157828531
2022/9/12 13:00,33.30386667,42.9341,6.22490126
2022/9/12 13:10,33.51016667,40.63618333,6.077153422
2022/9/12 13:20,33.40271667,40.43265,5.220233205
2022/9/12 13:30,33.5478,40.129,5.265788516
2022/9/12 13:40,33.80154167,37.44126667,5.720318197
2022/9/12 13:50,33.67783333,39.09961667,5.875064677
2022/9/12 14:00,33.69803333,39.23615,5.82142259
2022/9/12 14:10,33.89386667,40.45721667,6.073381005
2022/9/12 14:20,33.93656667,39.75708333,6.168248947
